原始任务名,标准任务名,原始时长(小时),合并后总时长(小时),原始记录数,合并后总记录数
Sort nuts/beans,分类坚果/豆子,9.969999999999999,130.96,3,25
Fold shopping bags,折叠购物袋,18.04,121.68,7,26
Fold and organize socks,整理袜子,21.09,152.48000000000002,10,38
Clean the phone,清洁手机,16.040000000000003,21.12,5,6
Wipe small table ornaments,擦拭桌面小摆件,1.3,49.72,1,10
Organize business cards/membership cards/bank cards,整理名片/会员卡/银行卡,0.67,31.750000000000004,1,10
Organize earphones/data cables,整理耳机线/数据线,3.79,77.30999999999999,2,16
叠衣服 ,叠衣服,1.02,198.64999999999998,1,90
书本收纳,整理书籍,127.75999999999999,148.23,36,40
擦拭餐具,用抹布擦拭碗盘,15.600000000000001,227.01,3,48
安装电池,电池安装,5.06,146.42,1,31
整理文档,整理文件,5.01,162.92999999999998,1,37
