任务描述,日报截屏上送总时长（小时）,原始上送总时长（小时）,运营端不合格总时长（小时）,算法端可接受总时长（小时）,记录数量,合格率
用抹布擦拭碗盘,95.74,211.41,25.71,153.01,45,87.84%
叠衣服,80.34,197.63,30.21,131.07,89,84.71%
药箱收纳,89.08,193.99,12.58,128.65,37,93.52%
收拾桌面,43.06,178.65,20.57,134.64,39,88.49%
整理零食、调料或玩具,67.07000000000001,161.88,18.46,115.61,39,88.6%
整理文件,77.75,157.92,18.55,116.0,36,88.25%
穿鞋带,76.55,155.41,13.11,131.8,37,91.56%
电池安装,87.4,141.36,34.9,86.7,30,75.31%
整理碗筷,66.28,140.45,22.169999999999998,94.71000000000001,24,84.22%
整理洗漱用品,73.46,140.01,27.56,88.99000000000001,32,80.32%
整理袜子,30.48,131.39,6.98,105.62,28,94.69%
书本收纳,67.45,127.76,36.5,70.88,36,71.43%
分类坚果/豆子,33.5,120.99,16.02,96.25,22,86.76%
折叠购物袋,30.53,103.64,9.92,87.42,19,90.43%
整理耳机线/数据线,15.96,73.52,1.21,54.13,14,98.35%
分拣晾晒衣物夹子,26.419999999999998,64.05,3.3,37.230000000000004,9,94.85%
整理鞋柜,36.04,58.239999999999995,15.68,35.81,15,73.08%
擦拭桌面小摆件,44.65,48.42,6.199999999999999,36.96,9,87.2%
Organize cosmetic samples,10.0,46.95,1.67,28.13,8,96.44%
分拣乐高/积木零件,40.06,43.54,7.6499999999999995,28.78,10,82.43%
整理名片/会员卡/银行卡,22.36,31.080000000000002,6.1,10.63,9,80.37%
Fold and organize socks,5.04,21.09,0.08,10.45,10,99.62%
整理书籍,0.0,20.470000000000002,5.98,14.49,4,70.79%
Fold shopping bags,0.0,18.04,0.0,6.25,7,100.0%
Clean the phone,10.129999999999999,16.04,0.0,1.55,5,100.0%
Change the pillowcase,20.16,15.959999999999999,0.0,0.0,3,100.0%
擦拭餐具,0.0,15.600000000000001,6.1,9.5,3,60.9%
Sort nuts/beans,0.0,9.969999999999999,0.6699999999999999,4.83,3,93.28%
Replace the garbage bag,10.09,9.280000000000001,0.09,3.72,2,99.03%
清洁手机,0.0,5.08,0.06,2.41,1,98.82%
安装电池,0.0,5.06,0.12,4.94,1,97.63%
Organize the drawer,5.03,5.03,0.01,0.6,1,99.8%
整理文档,0.0,5.01,0.01,5.0,1,99.8%
整理鞋带,0.0,4.01,0.45,3.56,1,88.78%
Organize earphones/data cables,0.0,3.79,0.0,0.22,2,100.0%
Wipe small table ornaments,0.0,1.3,0.0,0.0,1,100.0%
叠衣服 ,0.0,1.02,0.05,0.96,1,95.1%
Organize business cards/membership cards/bank cards,0.0,0.67,0.0,0.0,1,100.0%
